Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,IncomeGroup
Australia,AUS,1810.7064295701,1877.70706376424,1854.74615414162,1967.21127365791,2131.38029982805,2281.11030526567,2343.9159187567,2580.11059164641,2724.1306715175,2991.47727876684,3304.92736975744,3495.2282008845,3949.46164337606,4770.81017208508,6482.93848103472,7003.84247098582,7486.6826042084,7775.65846867125,8252.73445733837,9294.51578251874,10208.8036844943,11853.6694186454,12779.1459164023,11515.7445121041,12421.8807735017,11441.5819707185,11392.0043948477,11651.3301169821,14284.960791833,17834.4526910252,18249.3014538169,18859.9074576986,18624.1877335866,17699.8764915704,18129.6353064456,20448.1219685874,22021.7839065228,23646.6230457327,21479.1142020092,20712.6697805564,21870.4159669594,19695.7297379144,20301.8431713256,23718.1338501868,30836.7306824685,34479.7679298388,36595.7071548423,41051.6120652288,49701.2817843335,42816.5674002829,52144.6654705468,62605.600458306,68072.8732340801,68190.7010035651,62544.0873773726,56739.0265346593,49888.0410842736,53901.7145392154,57196.4220783778,54972.7017885437,51791.540179984,60607.7788605166,64997.0136536475,64820.9117890026,High income
Bolivia,BOL,100.815082854737,107.443477717784,115.079059551545,121.353276906598,133.876179179232,145.58711267745,157.754997559262,174.31274303611,193.51655736171,205.054759498469,219.353189499224,231.058296704132,267.89413451881,257.341859802045,418.379384665927,468.298148198972,519.994688476886,600.288223118602,683.142437042195,801.033733989315,772.779523867405,981.381288967307,930.593009773204,880.46117954446,982.081210248484,838.080051738814,604.257338303133,649.708769442851,672.607172751221,675.469993900788,682.67681029538,733.935487602519,759.57113496365,756.637016048451,774.035669644318,852.754034861444,922.113259069714,970.351843368594,1022.14506519545,979.344494964572,975.777060358751,930.168227214313,888.221328974352,893.013760211149,953.191893246277,1020.12326200737,1202.71150446327,1354.54905949929,1692.67248455876,1731.18172112209,1929.78373077158,2315.52121930607,2575.59857098084,2870.02377000756,3041.43503118107,2996.01289804214,3035.8734778704,3306.30301176558,3500.72642189371,3503.8960106182,3099.94219044572,3384.84486479247,3643.92826968677,3686.27996490544,Lower middle income
Brazil,BRA,235.266009502589,231.564063269854,250.200572910273,294.169619376733,257.259726897671,268.028760553723,328.343791519407,351.472600370379,373.925432639683,399.49841913391,443.799484982738,500.001988983361,583.492034946156,814.731780553415,1044.76980947499,1200.55823714607,1389.74952306555,1562.29143045708,1732.50012204556,1869.7133759549,1958.57159232662,2079.70908377484,2137.6250359394,1461.25582714178,1419.73154606978,1556.1297180511,1854.03775211919,2006.00226235757,2140.65027561164,2818.99277980122,3117.73534721624,2257.6092968885,2127.31642731638,2348.88247685352,3298.71250747787,4756.74840785403,5179.13052002464,5299.39630404412,5105.89099544117,3493.57162513699,3766.54811466032,3176.28935747524,2855.94018885769,3090.6070097455,3663.823188064,4827.78173052472,5934.1447107274,7409.69130727951,8908.33176567294,8678.65922498836,11403.2821284616,13396.6243566047,12521.7213530369,12458.891214816,12274.9939689363,8936.19661756825,8836.28652636996,10080.5092817775,9300.66164936497,9029.83326742175,7074.19378281866,7972.53665048385,9281.33334441234,10294.866680778,Upper middle income
Canada,CAN,2264.94849658191,2246.08356619252,2274.4284708191,2380.31732899108,2561.63849088572,2777.18317301162,3055.28807884507,3226.38273682011,3473.23722551871,3776.15613110238,4135.82149842006,4535.39338907773,5106.73708049128,5858.33407318788,7056.70847496589,7536.52009823861,8838.94710677652,8949.10989272982,9154.43325277735,10077.5026707269,11208.2027394178,12379.0368643833,12527.3135323802,13477.1031699599,13930.4745502555,14170.1249406067,14521.1800806,16377.6902109541,19012.5723278349,20794.682233334,21525.8611387148,21846.7930471354,20950.3305287651,20186.7988782965,19997.6237373354,20679.634792669,21296.9723536904,21901.5628548392,21024.5850687045,22315.2466731545,24271.0020563821,23822.096210932,24256.0192337185,28301.8645937428,32145.5412620217,36383.6600068095,40504.0370977806,44660.0838892281,46710.2526864484,40874.8831932903,47560.6666009406,52223.8588398531,52670.3447335415,52638.1187235237,50960.8431174661,43594.1941045394,42314.0615817218,45129.628116623,46539.1761570405,46352.8693445211,43537.839298904,52496.8441693242,55509.393176404,53431.1857063879,High income
Colombia,COL,258.304433616071,282.099440509948,298.543861741321,282.588330302742,338.675935298365,317.064563351518,290.253385958132,302.832507824134,301.526502784249,317.868798055367,345.879101568471,366.825167940364,397.41211740514,462.064375734059,541.749901587091,561.098036100584,643.007914496566,798.203021638873,932.392695058624,1095.0313839164,1279.50116658241,1362.18332520058,1425.39936771371,1383.7924605368,1335.52821812362,1192.21877479377,1169.46212069392,1192.58828638182,1259.6174112078,1244.3269459081,1474.8455285342,1499.71104164399,1729.66397332384,1930.05976548029,2325.97557339326,2583.34991436018,2664.45625558215,2873.20018821653,2605.99938059023,2243.64204956242,2555.00751039968,2472.99084035833,2428.92969771584,2311.94218760291,2818.57195413044,3456.06610874512,3789.85361217027,4769.926147194,5541.83629665898,5250.97292433518,6398.2958447102,7400.9940695669,8108.59838244229,8279.10255642981,8187.20824890084,6248.51490534512,5959.84250367574,6479.53231292429,6816.96818309544,6472.54544924705,5339.68711357943,6222.62164397614,6674.59601948063,6947.35928681966,Upper middle income
Costa Rica,CRI,382.309121831519,355.844447873806,335.221589042255,345.505369052711,353.710896791701,373.835690063441,395.15249847305,413.996506036274,444.805256869954,477.081346742249,535.539679724977,570.360229534426,638.851011611456,768.944717412776,817.076691410389,936.993196686988,1123.28179124262,1393.37513762224,1555.83716115258,1734.59560248294,2020.99067534283,1068.04672232202,1032.40548167496,1212.55765296791,1372.20149843952,1429.37836415122,1568.5640969552,1567.0320510901,1554.74048522018,1725.13936155907,1829.6687089559,2253.38191508071,2612.38756453737,2840.38706479397,3039.56328550633,3275.25256447416,3226.96395598625,3407.776128985,3617.45756666726,3690.96154778297,3812.75388284924,3985.12984506207,4067.71851429092,4173.14856415514,4431.0117207843,4703.00721784778,5256.59640859159,6137.71199925542,6937.24261596055,6832.69829924138,8265.78820275582,9276.39107511347,10126.9991024177,10803.2401962173,10911.497878334,11714.7105980732,12091.0301606154,12317.0902771304,12590.2493781614,12884.6859951989,12394.0493969492,12838.1185358931,13625.9008491328,16942.0268119375,Upper middle income
Dominican Republic,DOM,205.731509857004,193.908988795022,236.814700040461,262.186358003136,277.29715816349,233.160574151022,250.876691518053,256.20659739416,259.574438400563,287.699305710615,337.668123719964,368.349647697268,427.224846368664,490.3154952703,595.356677805143,713.168169144024,762.778347016951,862.976049221109,868.397371769969,983.739706495351,1180.18089253045,1288.46563140235,1376.26820466534,1499.95575255789,1843.52460788928,784.488809604008,931.659530115685,868.087557831807,783.913142122635,954.914504449885,989.163941207659,1345.84673690623,1558.29782071075,1722.41995993981,1891.67055679,2109.16940728689,2270.86558687203,2448.89393535363,2607.85457321405,2620.8896817272,2831.45883638033,2935.89367312668,3065.60329524196,2383.26171780393,2451.69161616569,3878.31206735244,4055.14270347371,4649.64558875814,5026.84091100115,4977.79884445929,5484.64637931191,5834.70590719826,6025.72582713231,6149.02748927076,6512.50771431953,6819.93225155181,7174.82349574,7499.69286187019,7934.98141208525,8164.22080932117,7162.29175242114,8472.47982000992,10109.5234003521,10717.6276712204,Upper middle income
"Egypt, Arab Rep.",EGY,156.387390904103,162.841637332882,142.409573017439,143.928398657862,157.71653227217,161.567123566919,168.054342944501,174.103044536176,179.774096694265,192.964908828257,232.272492342671,242.971070265891,256.482815640115,272.182710085295,243.061473902314,299.217518322538,334.609918474469,353.403833676533,354.674246269687,420.85821686233,493.053573271061,490.308796861598,595.918898169378,648.013629771434,689.807675510205,769.755137148666,790.201793698565,753.722263747615,633.839369496566,701.037717929191,735.982935028025,622.829605007867,680.79923864551,740.334217356418,807.303537230487,916.326617700876,1008.97637629447,1146.20172117634,1212.82259820477,1268.30949160496,1366.09274372613,1295.1374184163,1116.82884626213,1031.27556291284,991.255689145253,1104.80340733395,1298.97900203124,1547.74170735909,1896.21594269779,2161.63964573927,2455.08194645282,2590.64384891965,2996.0677072015,3025.52563552448,3133.39102265541,3306.98159414141,3270.6287768197,2395.10333299491,2484.70315630508,2962.98892023003,3511.11381026379,3827.35415374308,4233.30783744856,3457.45691570455,Lower middle income
United Kingdom,GBR,1397.5948032844,1472.38571407868,1525.77585271032,1613.45688373392,1748.2881176141,1873.56777435421,1986.74715869685,2058.78188198056,1951.75859587532,2100.66786858672,2347.54431773747,2649.80151387223,3030.43251411977,3426.27622050378,3665.8627976419,4299.74561799284,4138.16778761535,4681.43993173038,5976.93816899991,7804.76208051155,10032.062080015,9599.30622221965,9146.07735701852,8691.51881306514,8179.19444064991,8652.21654247593,10611.112210096,13118.586534629,15987.1680775688,16239.2821960944,19095.4669984608,19900.7266505069,20487.1707852878,18389.0195675099,19709.2380983653,23168.9529580171,24406.400298359,26766.0056249684,28274.5045119699,28762.0913570256,28280.926786099,27906.5695029641,30077.741432188,34442.6875402308,40366.8886650968,42104.7884375024,44512.4590296865,50397.6854954706,47396.1202078484,38744.131693043,39598.957119545,42109.6418795749,42497.3404974322,43426.2981405143,47439.6165895125,44964.3911437292,40985.2351382417,40572.1214823783,43203.8141057739,42662.5353740311,40201.6812422928,46896.8662432834,45935.9276473925,49463.8554617343,High income
Honduras,HND,162.774119084799,167.920491862786,177.698729276502,182.727079155304,197.847916860582,213.974087533974,224.767456925531,237.468673669365,249.435319007642,250.160207378302,262.840752313489,257.883254733622,274.804500009748,303.009104141963,333.727332671793,351.994247837772,409.172118500864,491.223719383109,883.547221294305,980.442767610674,1064.65679108536,1052.61024413696,1077.74606527652,1097.72098615704,1170.354142767,1220.84274445556,1276.23237996637,1352.55472392946,1253.84921085629,1121.9592439326,988.459273781288,907.271114551007,937.828918006075,908.446013257125,832.062972379136,931.669547257738,883.311249797422,944.930102441707,1021.15818843434,1002.19633011186,1092.56400746252,1132.1648753329,1132.49965345317,1156.08162681357,1215.13995412761,1304.70039153826,1425.84780051892,1577.73789197407,1732.49062702803,1781.15703614674,1893.32722662035,2073.66121088074,2126.03474686503,2081.12843527945,2179.88171977271,2271.20265980349,2307.34468351082,2413.0076562942,2464.64241531918,2502.32744328073,2307.61494319511,2735.14751503977,3003.28996826399,3231.65724461936,Lower middle income
