Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,IncomeGroup
Australia,AUS,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,0.7,,,,,,0.7,,,,,,0.7,,1.0,0.7,,,,0.4,,0.3,,,,0.5,,0.5,,0.5,,,,,,High income
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,8.7,,,,,15.5,,21.9,24.2,19.0,19.7,,10.2,15.6,12.5,9.5,8.3,8.8,,5.3,6.5,5.2,4.3,4.6,5.6,4.9,3.3,1.9,3.1,2.0,,,Lower middle income
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,23.9,24.4,30.6,29.9,25.8,12.3,19.9,22.4,20.4,24.0,,23.3,22.1,,14.7,16.0,16.0,14.3,15.0,,13.0,11.7,12.6,11.1,10.0,8.3,7.9,6.5,6.1,,5.3,4.5,3.7,3.3,3.9,4.7,5.3,5.3,5.4,2.0,5.8,3.5,,Upper middle income
Canada,CAN,,,,,,,,,,,,2.2,,1.7,,1.5,,1.2,,1.2,,0.7,0.7,,0.7,0.5,1.0,0.5,0.7,1.2,1.2,1.2,0.7,1.2,1.0,0.7,0.2,0.2,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,,,,,High income
Colombia,COL,,,,,,,,,,,,,,,,,,,,,20.9,,,,,,,,14.6,14.0,,12.8,9.6,,,,17.6,,,21.4,17.5,21.0,14.2,13.0,12.0,10.7,,,11.0,9.6,8.3,6.8,6.7,6.1,5.4,4.9,4.9,4.3,4.5,5.3,9.4,7.3,6.0,,Upper middle income
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,13.9,,,10.6,10.4,12.4,9.9,8.5,7.0,7.1,8.2,6.7,5.2,6.8,6.9,5.1,4.7,4.7,4.7,3.3,3.3,1.8,2.4,2.5,1.5,1.8,1.7,1.6,1.5,1.6,1.3,1.2,1.5,1.1,2.3,1.2,0.9,0.9,Upper middle income
Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,17.4,,,7.6,,,,6.5,6.9,,,6.7,5.1,7.6,8.7,11.6,7.4,6.3,6.1,5.4,4.7,3.9,4.1,3.8,3.0,3.4,2.5,2.0,1.0,0.8,0.8,1.0,0.9,0.8,,Upper middle income
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,,,,,2.0,,,,0.0,,,,,3.1,,,,2.9,,1.0,,0.9,,,0.9,,2.5,,1.5,,,,,Lower middle income
United Kingdom,GBR,,,,,,,,,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.2,,,High income
Honduras,HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,42.0,30.8,27.0,21.4,24.3,26.2,28.6,19.6,24.5,24.9,,19.8,22.0,26.5,25.4,25.1,21.1,15.6,15.2,12.3,13.8,14.3,17.0,14.6,13.3,13.0,14.6,13.9,14.2,12.7,,,,,Lower middle income
Indonesia,IDN,,,,,,,,,,,,,,,,,,,,,,,,,74.3,,,74.6,,,61.8,,,61.2,,,49.3,,68.3,44.0,43.8,40.3,23.5,22.8,24.2,20.1,26.2,21.6,19.2,18.8,16.5,14.1,10.6,10.8,9.7,8.5,6.7,4.3,4.4,3.4,2.8,2.9,2.2,1.8,Upper middle income
India,IND,,,,,,,,,,,,,,,,,,63.5,,,,,,56.7,,,,50.9,,,,,,48.0,,,,,,,,,,,40.6,,,,,33.5,,22.9,,,,18.8,18.1,13.4,11.1,13.2,15.5,12.9,,,Lower middle income
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,High income
Italy,ITA,,,,,,,,,,,,,,,,,,0.2,0.5,0.5,0.2,0.0,0.0,0.2,0.0,,0.2,1.0,,0.0,,0.2,,1.2,,0.7,,,1.7,,1.2,,1.5,0.8,0.6,0.6,0.7,0.7,0.7,0.9,1.3,1.2,1.2,1.4,1.2,1.9,1.6,1.4,1.5,1.0,0.8,0.8,,,High income
Malaysia,MYS,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,1.7,,0.7,,,1.0,,,1.4,,0.0,,,,,,1.6,,,0.8,,0.7,,,0.1,,0.0,,0.0,,,0.0,,,0.0,,,Upper middle income
Panama,PAN,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,22.4,,20.1,,,,15.2,,14.2,14.5,12.3,11.1,14.0,9.6,9.9,8.7,8.6,9.4,6.7,4.1,2.5,3.4,2.5,3.5,2.2,2.9,1.5,1.5,2.1,1.4,1.0,,1.1,,1.3,High income
