Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,IncomeGroup
Australia,AUS,10276477.0,10483000.0,10742000.0,10950000.0,11167000.0,11388000.0,11651000.0,11799000.0,12009000.0,12263000.0,12507000.0,12937000.0,13177000.0,13380000.0,13723000.0,13893000.0,14033000.0,14192000.0,14358000.0,14514000.0,14692000.0,14923260.0,15184247.0,15393472.0,15579391.0,15788312.0,16018350.0,16263874.0,16532164.0,16814416.0,17065128.0,17284036.0,17478635.0,17634808.0,17805468.0,18004882.0,18224767.0,18423037.0,18607584.0,18812264.0,19028802.0,19274701.0,19495210.0,19720737.0,19932722.0,20176844.0,20450966.0,20827622.0,21249199.0,21691653.0,22031750.0,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24592588.0,24963258.0,25334826.0,25649248.0,25685412.0,26014399.0,26658948.0,High income
Bolivia,BOL,3702323.0,3778731.0,3857493.0,3938913.0,4022996.0,4109796.0,4199550.0,4292572.0,4388944.0,4488232.0,4590010.0,4694342.0,4800978.0,4910200.0,5022475.0,5137539.0,5256496.0,5379166.0,5504123.0,5630849.0,5758900.0,5888109.0,6018088.0,6149060.0,6281868.0,6416185.0,6552479.0,6692162.0,6835508.0,6981766.0,7130142.0,7280289.0,7430336.0,7579195.0,7727322.0,7874676.0,8021736.0,8167900.0,8313394.0,8459806.0,8606326.0,8752736.0,8900355.0,9050700.0,9204287.0,9360754.0,9521689.0,9685960.0,9850858.0,10016275.0,10182345.0,10348929.0,10515807.0,10682608.0,10848888.0,11014705.0,11180020.0,11344587.0,11508368.0,11671386.0,11816299.0,11937360.0,12077154.0,12244159.0,Lower middle income
Brazil,BRA,72388126.0,74605447.0,76865323.0,79164235.0,81488595.0,83817583.0,86139359.0,88446124.0,90741240.0,93045777.0,95375651.0,97739273.0,100146797.0,102600976.0,105089675.0,107619565.0,110213349.0,112875292.0,115600942.0,118380821.0,121207461.0,124063109.0,126923155.0,129790077.0,132658864.0,135515595.0,138336370.0,141104944.0,143826357.0,146502972.0,149143223.0,151724256.0,154275079.0,156794577.0,159265006.0,161735073.0,164202549.0,166661659.0,169159655.0,171641543.0,174018282.0,176301203.0,178503484.0,180622688.0,182675143.0,184688101.0,186653106.0,188552320.0,190367302.0,192079951.0,193701929.0,195284734.0,196876111.0,198478299.0,200085127.0,201675532.0,203218114.0,204703445.0,206107261.0,207455459.0,208660842.0,209550294.0,210306415.0,211140729.0,Upper middle income
Canada,CAN,17909356.0,18271000.0,18614000.0,18964000.0,19325000.0,19678000.0,20048000.0,20412000.0,20744000.0,21028000.0,21324000.0,21962032.0,22218463.0,22491777.0,22807969.0,23143275.0,23449808.0,23725843.0,23963203.0,24201544.0,24515667.0,24819915.0,25116942.0,25366451.0,25607053.0,25842116.0,26100278.0,26446601.0,26791747.0,27276781.0,27691138.0,28037420.0,28371264.0,28684764.0,29000663.0,29302311.0,29610218.0,29905948.0,30155173.0,30401286.0,30685730.0,31020855.0,31359199.0,31642461.0,31938807.0,32242732.0,32571193.0,32888886.0,33247298.0,33630069.0,34005902.0,34339221.0,34713395.0,35080992.0,35434066.0,35704498.0,36110803.0,36545075.0,37072620.0,37618495.0,38028638.0,38239864.0,38939056.0,40097761.0,High income
Colombia,COL,15606209.0,16095203.0,16599029.0,17113823.0,17637411.0,18169050.0,18702688.0,19235618.0,19766796.0,20291942.0,20811782.0,21319096.0,21819563.0,22325374.0,22833469.0,23344644.0,23858810.0,24393494.0,24950337.0,25515626.0,26104498.0,26713267.0,27338331.0,27988173.0,28642690.0,29268470.0,29879112.0,30499467.0,31130524.0,31776279.0,32440069.0,33098372.0,33760571.0,34441473.0,35127410.0,35804662.0,36462745.0,37121149.0,37792165.0,38454863.0,39089934.0,39709262.0,40324680.0,40937429.0,41543171.0,42128977.0,42691084.0,43235374.0,43758808.0,44271541.0,44777319.0,45259614.0,45715810.0,46151584.0,46565429.0,46969940.0,47437512.0,48131078.0,49024465.0,49907985.0,50629997.0,51188173.0,51737944.0,52321152.0,Upper middle income
Costa Rica,CRI,1327496.0,1377920.0,1429445.0,1481604.0,1533960.0,1586208.0,1638116.0,1689523.0,1739731.0,1789276.0,1838949.0,1888539.0,1938248.0,1988343.0,2039643.0,2092719.0,2147774.0,2205025.0,2264510.0,2326490.0,2390633.0,2456637.0,2524806.0,2595153.0,2667595.0,2741894.0,2817216.0,2892699.0,2968103.0,3043827.0,3121706.0,3202176.0,3284258.0,3367434.0,3451122.0,3535176.0,3619013.0,3701711.0,3782838.0,3862101.0,3937739.0,4008947.0,4075705.0,4138784.0,4200078.0,4261240.0,4321340.0,4380248.0,4440056.0,4499791.0,4555962.0,4609833.0,4663934.0,4716147.0,4767119.0,4818038.0,4866998.0,4913177.0,4957818.0,4999553.0,5034320.0,5059988.0,5081765.0,5105525.0,Upper middle income
Dominican Republic,DOM,3268336.0,3373233.0,3479936.0,3588287.0,3698559.0,3808963.0,3921847.0,4038928.0,4157189.0,4277035.0,4399290.0,4524234.0,4651883.0,4782227.0,4914197.0,5046776.0,5180404.0,5315443.0,5451882.0,5589690.0,5729037.0,5868453.0,6007114.0,6147248.0,6289040.0,6430404.0,6571208.0,6712515.0,6855734.0,7002295.0,7151166.0,7299853.0,7447474.0,7594572.0,7741694.0,7888115.0,8032894.0,8174078.0,8310362.0,8446208.0,8584190.0,8720283.0,8852235.0,8980620.0,9104892.0,9225034.0,9341183.0,9455658.0,9573130.0,9695265.0,9820175.0,9945621.0,10070411.0,10193833.0,10315528.0,10434829.0,10551430.0,10666843.0,10782053.0,10894043.0,11008300.0,11123476.0,11230734.0,11331265.0,Upper middle income
"Egypt, Arab Rep.",EGY,26896479.0,27600898.0,28337013.0,29091869.0,29858922.0,30629174.0,31406541.0,32196360.0,32998319.0,33811615.0,34623990.0,35433368.0,36258328.0,37102043.0,37969667.0,38875327.0,39795557.0,40748870.0,41761431.0,42818628.0,43950413.0,45147224.0,46407611.0,47786402.0,49247334.0,50734968.0,52206295.0,53674435.0,55187681.0,56710642.0,58396618.0,60028997.0,61480660.0,62915681.0,64285589.0,65652622.0,67028048.0,68431740.0,69943294.0,71520954.0,73083284.0,74652029.0,76239137.0,77853548.0,79477443.0,81101004.0,82700403.0,84276225.0,85864789.0,87501636.0,89196072.0,91093059.0,93161001.0,95333553.0,97528654.0,99597342.0,101644589.0,103696057.0,105682094.0,107553158.0,109315124.0,110957008.0,112618250.0,114535772.0,Lower middle income
United Kingdom,GBR,52400000.0,52800000.0,53250000.0,53650000.0,54000000.0,54348050.0,54648500.0,54943600.0,55211700.0,55441750.0,55663250.0,55896223.0,56086065.0,56194527.0,56229974.0,56225800.0,56211968.0,56193492.0,56196504.0,56246951.0,56314216.0,56333829.0,56313641.0,56332848.0,56422072.0,56550268.0,56681396.0,56802050.0,56928327.0,57076711.0,57247586.0,57424897.0,57580402.0,57718614.0,57865745.0,58019030.0,58166950.0,58316954.0,58487141.0,58682466.0,58892514.0,59119673.0,59370479.0,59647577.0,59987905.0,60401206.0,60846820.0,61322463.0,61806995.0,62276270.0,62766365.0,63258810.0,63700215.0,64128273.0,64602298.0,65116219.0,65611593.0,66058859.0,66460344.0,66836327.0,67081234.0,67026292.0,67791000.0,68350000.0,High income
Honduras,HND,2062060.0,2121242.0,2182064.0,2244878.0,2309855.0,2377157.0,2446751.0,2518648.0,2593057.0,2670289.0,2750715.0,2834616.0,2922064.0,3011459.0,3099836.0,3193234.0,3294457.0,3398655.0,3505463.0,3614981.0,3727173.0,3841778.0,3958728.0,4078174.0,4199850.0,4323342.0,4448899.0,4576910.0,4707677.0,4841838.0,4980488.0,5123792.0,5271431.0,5423249.0,5579242.0,5739637.0,5903954.0,6071454.0,6234431.0,6400463.0,6577773.0,6757993.0,6938859.0,7119213.0,7298994.0,7478355.0,7656832.0,7834798.0,8012587.0,8189899.0,8365878.0,8540583.0,8715076.0,8889278.0,9063122.0,9237305.0,9412380.0,9588137.0,9765210.0,9943633.0,10119640.0,10289877.0,10463872.0,10644851.0,Lower middle income
Indonesia,IDN,88296070.0,90791249.0,93375850.0,96051424.0,98833749.0,101365130.0,103792754.0,106526393.0,109450006.0,112517639.0,115657495.0,118833702.0,122039841.0,125288515.0,128555045.0,131843848.0,135173655.0,138533541.0,141953163.0,145434834.0,148950540.0,152485035.0,156052152.0,159651381.0,163251124.0,166776185.0,170175065.0,173511154.0,176855065.0,180201630.0,183501098.0,186778238.0,190043744.0,193305168.0,196591828.0,199888057.0,203204348.0,206536095.0,209826788.0,213004668.0,216077790.0,219097902.0,222088495.0,225048008.0,227926649.0,230871650.0,233951652.0,237062337.0,240157903.0,243220028.0,246305322.0,249470032.0,252698525.0,255852467.0,258877399.0,261799249.0,264627418.0,267346658.0,269951846.0,272489381.0,274814866.0,276758053.0,278830529.0,281190067.0,Upper middle income
