Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,,,,,1557,1618,1670,1735,1791,1869,1943,2025,2100,2218,2356.38,2356.38,2469.567,2553.633,2627.733,2696.2,2777.233,2846.567,2915.033,3011.233,3116.533,3210.133,3266.467,3347.933,3520.573,3703.016,4023.436
Bolivia,,,,,,,355,400,430,440,440,440,500,525,577.5,647,679.5,815.4,1000,1200,1440,1656,1805,2000,2060,2122,2122,,,,
Brazil,70,100,112,120,130,136,151,180,200,240,260,300,350,380,415,465,510,545,622,678,724,788,880,937,954,998,1045,1100,1212,1302,1412
Canada,,1153,1174,1183,1192,1192,1192,1200,1218,1226,1265,1304,1343,1387,1343.333,1386.667,1386.667,1516.667,1606.8,1646.667,1733.333,1785.333,1820,1864,1907,1933,2080,2340,2470,2693,2884
Colombia,,118933.5,142125,172005,203826,236460,260100,286000,309000,332000,358000,381500,408000,433700,461500,496900,515000,532500,566700,589500,616000,644350,689455,737717,781242,828116,877803,908526,1000000,1160000,1300000
Costa Rica,,32601,38113,45237,51580,57456,63539,71962,77578,85535,94966.69,108880,122685,135251.88,156503.52,170818.5,186899.341,198528.248,210966.173,223914.346,266942.69,286467.36,293132.67,293132.67,300225.79,309143.36,316964,317915.58,324560.01,352164,358609
Dominican Republic,,1296,1296,1555,1555,1757,1757,2075,2240,2720,3900,3900,3900,4485,4485,5158,5158,6035,6035,6880,11292,12872,12872,11826,11826,13482,13482,15600,16263,18702,19450
"Egypt, Arab Rep.",,,,,,,35,35,35,35,35,35,35,35,35,35,35,,,,,,,,,,,,,,
United Kingdom,,,,,,,3.6,4.1,4.2,4.5,4.85,5.05,5.35,5.52,5.73,5.8,5.93,6.08,6.19,6.31,6.5,6.7,7.2,7.5,7.83,8.21,8.72,,,,
Honduras,,441,598,676,775,910,962,1092,1245,1395,1562,1750,1942,2156,2392.86,5500,5500,5857.5,6185.52,6531.91,6858.51,7222.01,7619.2,7871.42,8243.74,8636.96,9068.81,9432.47,9934.1,10462.59,11507.77
Indonesia,,103350,118730.769,135000,150900,175400,216500,290500,362700,414700,458500,507700,602200,667900,743200,830700,908800,988800,1119100,1332400,,1100000,1237700,1337645,1454154,1570922,2503293,2503293,2679814.5,4901798,5067381
India,,,,,,,1170,1170,1300,1300,1716,1716,1716,1716,2080,2080,2600,2990,2990,3562,3562,4160,4160,4576,4576,4628,4628,4628,4628,4628,4628
Iceland,,,,,,,350000,367500,385875,405169,425427,446698,469033,492485,517109,542964,570112,598618,628549,659976,692975,727623,763999,802199,842309,884424,927646,,,,425985
Italy,,,,,,,26000,26468,26944,27429,27922,28423,28933,29452,29980,30516,31061,31615,32177,32748,33328,33917,34515,35122,35739,36364,37000,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,900,900,900,1000,1000,1000,1100,1200,1200,1500,1500,1500
Panama,,195.5,195.5,195.5,212.14,212.14,239.2,239.2,239.2,245.42,245.42,245.42,264.14,276.62,289.1,289.1,318.24,318.24,366.05,366.05,415.97,415.97,438.85,438.85,457.6,457.6,461.72,461.72,461.72,461.72,482.18
Peru,,,,345,345,345,410,410,410,460,460,460,500,530,550,550,580,675,750,750,750,750,850,850,930,930,930,930,1025,1025,1025
Thailand,,3770,4082,4082,4212,4212,4212,4290,4290,4394,4420,4628,4784,4966,4030,4030,4160,4446,6214,7800,7800,7800,7800,7930,8190,8190,8320,8320,8710,8710,8963
Uruguay,,625,760,900,990,1040,1060,1092,1110,1194,1310,2500,3000,3244,4150,4441,4799,6000,7200,7920,8960,10000,11150,12265,13430,15650,16300,17930,19364,22268,22751
United States,,,,,,,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,,,,
